name,state,ingredients,calories_per_100g,spice_level,sweet_level,salty_level,sour_level,bitter_level,taste(0/1),prep_time,cook_time,diet_type_veg,diet_type_nonveg,diet_type_fast,diet_type_jain,diet_type_halal,meal_breakfast,meal_brunch,meal_lunch,meal_snack,meal_dinner,course_soup,course_salad,course_appetizer(starter),course_maincourse,course_sidedish,course_dessert,course_beverage,popularity,health_score
Telangana Royala Iguru,Telangana,"prawns, coconut, spices",220,0.8,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Godhuma Ravva Upma,Telangana,"semolina, vegetables, spices",200,0.5,0.1,0.6,0.1,0.1,1,10,20,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7
Telangana Kodi Koora,Telangana,"chicken, onions, spices",240,0.9,0.1,0.7,0.2,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Telangana Chepa Vepudu,Telangana,"fish, spices, oil",220,0.8,0.1,0.7,0.1,0.1,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6
Telangana Methi Matar Malai,Telangana,"fenugreek leaves, green peas, cream",180,0.5,0.3,0.5,0.1,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Telangana Mutton Keema Balls,Telangana,"minced mutton, spices, egg",260,0.8,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,high,0.5
Telangana Aloo Methi,Telangana,"potatoes, fenugreek leaves, spices",160,0.6,0.1,0.6,0.2,0.3,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Telangana Mirchi Salan,Telangana,"green chilies, peanuts, sesame seeds",200,0.9,0.2,0.6,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.6
Telangana Vegetable Biryani,Telangana,"basmati rice, mixed vegetables, spices",280,0.7,0.2,0.6,0.1,0.1,1,30,45,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Idli,Tamil Nadu,"rice, urad dal, fenugreek seeds",150,0.2,0.1,0.4,0.1,0.1,1,480,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8
Dosa,Tamil Nadu,"rice, urad dal, fenugreek seeds",170,0.3,0.1,0.5,0.1,0.1,1,480,10,1,0,0,1,1,1,1,1,1,1,0,0,0,1,0,0,0,high,0.7
Sambar,Tamil Nadu,"toor dal, vegetables, tamarind, spices",120,0.7,0.2,0.6,0.5,0.1,1,20,40,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,high,0.8
Vada,Tamil Nadu,"urad dal, onion, spices",220,0.5,0.1,0.7,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.6
Pongal,Tamil Nadu,"rice, moong dal, black pepper, cumin",200,0.4,0.2,0.6,0.1,0.1,1,10,30,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.7
Rasam,Tamil Nadu,"tomato, tamarind, pepper, cumin",60,0.8,0.1,0.5,0.7,0.2,1,15,20,1,0,0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,high,0.9
Chettinad Chicken,Tamil Nadu,"chicken, spices, coconut",280,0.9,0.1,0.7,0.2,0.1,1,30,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Kootu,Tamil Nadu,"vegetables, lentils, coconut",140,0.5,0.2,0.5,0.2,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8
Uttapam,Tamil Nadu,"rice, urad dal, onion, tomato",180,0.4,0.1,0.6,0.2,0.1,1,480,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.7
Paruppu Payasam,Tamil Nadu,"moong dal, jaggery, coconut milk",220,0.1,0.9,0.1,0.1,0.1,1,10,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5
Tamarind Rice,Tamil Nadu,"rice, tamarind, peanuts, spices",200,0.7,0.2,0.8,0.6,0.1,1,10,20,1,0,0,1,1,0,1,1,1,1,0,0,0,1,0,0,0,high,0.7
Chicken 65,Tamil Nadu,"chicken, yogurt, spices",250,0.8,0.1,0.7,0.2,0.1,1,30,15,0,1,0,0,1,0,0,0,1,1,0,0,1,0,0,0,0,high,0.5
Murukku,Tamil Nadu,"rice flour, urad dal flour, spices",450,0.4,0.1,0.7,0.1,0.1,1,20,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.4
Vadacurry,Tamil Nadu,"vada, coconut milk, spices",220,0.7,0.2,0.7,0.3,0.1,1,40,30,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.6
Kuzhi Paniyaram,Tamil Nadu,"rice, urad dal, onion, spices",180,0.5,0.1,0.6,0.2,0.1,1,480,20,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.7
Thengai Paal,Tamil Nadu,"coconut milk, sugar",180,0.1,0.7,0.1,0.1,0.1,1,10,15,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,med,0.5
Biryani,Tamil Nadu,"rice, meat/vegetables, spices",300,0.8,0.1,0.7,0.2,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Sundal,Tamil Nadu,"chickpeas, coconut, spices",180,0.4,0.2,0.6,0.1,0.1,1,180,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,high,0.8
Aviyal,Tamil Nadu,"mixed vegetables, coconut, curd",140,0.4,0.2,0.5,0.3,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9
Kozhi Varuval,Tamil Nadu,"chicken, spices",220,0.8,0.1,0.7,0.2,0.1,1,20,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,high,0.6
Poriyal,Tamil Nadu,"vegetables, coconut, spices",120,0.5,0.2,0.5,0.1,0.1,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9
Thayir Sadam,Tamil Nadu,"rice, curd, spices",180,0.3,0.2,0.5,0.4,0.1,1,10,5,1,0,0,1,1,0,1,1,0,1,0,0,0,1,0,0,0,high,0.7
Neer Mor,Tamil Nadu,"buttermilk, ginger, curry leaves",60,0.3,0.1,0.4,0.5,0.1,1,5,5,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.9
Adai,Tamil Nadu,"rice, lentils, spices",200,0.6,0.1,0.6,0.2,0.1,1,240,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8
Keerai Masiyal,Tamil Nadu,"spinach, dal, spices",100,0.4,0.1,0.5,0.2,0.2,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.9
Paruppu Urundai,Tamil Nadu,"lentils, spices",180,0.6,0.1,0.7,0.1,0.1,1,30,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,med,0.7
Chettinadu Fish Curry,Tamil Nadu,"fish, spices, tamarind",200,0.9,0.1,0.7,0.4,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Mor Kuzhambu,Tamil Nadu,"buttermilk, vegetables, spices",120,0.6,0.1,0.5,0.6,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Kara Kozhambu,Tamil Nadu,"tamarind, vegetables, spices",140,0.8,0.1,0.6,0.7,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Paal Payasam,Tamil Nadu,"rice, milk, sugar",220,0.1,0.9,0.1,0.1,0.1,1,10,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5
Vazhaipoo Vadai,Tamil Nadu,"banana flower, lentils, spices",180,0.6,0.1,0.7,0.2,0.2,1,30,20,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.7
Kanchipuram Idli,Tamil Nadu,"rice, urad dal, spices",160,0.4,0.1,0.6,0.1,0.1,1,480,30,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,high,0.8
Vegetable Kurma,Tamil Nadu,"mixed vegetables, coconut, spices",160,0.6,0.2,0.6,0.2,0.1,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Nethili Fry,Tamil Nadu,"anchovies, spices",200,0.7,0.1,0.8,0.1,0.1,1,15,20,0,1,0,0,1,0,0,1,1,1,0,0,1,0,0,0,0,high,0.6
Thakkali Sadam,Tamil Nadu,"rice, tomato, spices",180,0.6,0.2,0.7,0.5,0.1,1,10,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Mutton Sukka,Tamil Nadu,"mutton, onion, spices",280,0.9,0.1,0.7,0.2,0.1,1,20,45,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.5
Ragi Dosa,Tamil Nadu,"ragi flour, rice flour",160,0.3,0.1,0.4,0.1,0.2,1,240,10,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,high,0.8
Meen Kuzhambu,Tamil Nadu,"fish, tamarind, spices",180,0.8,0.1,0.7,0.5,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Ulundhu Vadai,Tamil Nadu,"urad dal, onion, spices",220,0.5,0.1,0.7,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.6
Vendhaya Kuzhambu,Tamil Nadu,"fenugreek seeds, tamarind, spices",120,0.7,0.1,0.6,0.5,0.3,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Paruppu Usili,Tamil Nadu,"lentils, vegetables, spices",160,0.6,0.1,0.7,0.2,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8
Kavuni Arisi,Tamil Nadu,"black rice, coconut milk, jaggery",240,0.1,0.8,0.1,0.1,0.1,1,30,40,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,med,0.6
Ellu Sadam,Tamil Nadu,"rice, sesame seeds, peanuts, spices",250,0.4,0.2,0.6,0.1,0.2,1,15,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kambu Koozh,Tamil Nadu,"pearl millet, buttermilk",120,0.2,0.1,0.3,0.4,0.1,1,10,20,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,med,0.9
Kari Kozhambu,Tamil Nadu,"mutton, tamarind, spices",220,0.9,0.1,0.7,0.5,0.1,1,30,60,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Vathal Kuzhambu,Tamil Nadu,"sundried vegetables, tamarind, spices",100,0.8,0.1,0.7,0.6,0.2,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kollu Rasam,Tamil Nadu,"horse gram, tomato, spices",80,0.7,0.1,0.5,0.6,0.2,1,20,25,1,0,0,1,1,0,0,1,0,1,1,0,0,0,1,0,0,med,0.8
Paruppu Thogayal,Tamil Nadu,"lentils, garlic, red chilies",150,0.8,0.1,0.7,0.1,0.1,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7
Karuveppilai Podi,Tamil Nadu,"curry leaves, lentils, spices",200,0.6,0.1,0.7,0.1,0.3,1,20,10,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,med,0.8
Pineapple Pachadi,Tamil Nadu,"pineapple, yogurt, coconut",130,0.3,0.5,0.3,0.6,0.1,1,15,10,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,med,0.7
Vazhaipoo Poriyal,Tamil Nadu,"banana flower, coconut, spices",110,0.5,0.1,0.5,0.1,0.2,1,25,20,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8
Keerai Vadai,Tamil Nadu,"spinach, lentils, spices",180,0.5,0.1,0.6,0.1,0.2,1,30,15,1,0,0,1,1,1,0,0,1,0,0,0,1,0,0,0,0,med,0.7
Vendakkai Poriyal,Tamil Nadu,"okra, onion, spices",90,0.5,0.1,0.5,0.1,0.1,1,10,15,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.8
Muttai Thokku,Tamil Nadu,"eggs, onion, tomato, spices",180,0.7,0.1,0.6,0.3,0.1,1,10,20,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Puliyodharai,Tamil Nadu,"rice, tamarind, peanuts, spices",220,0.7,0.2,0.8,0.6,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Seeragasamba Sadham,Tamil Nadu,"seeraga samba rice, spices",200,0.4,0.1,0.5,0.1,0.1,1,10,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kadalai Curry,Tamil Nadu,"chickpeas, coconut, spices",180,0.6,0.2,0.6,0.1,0.1,1,180,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Manathakkali Vathal Kuzhambu,Tamil Nadu,"dried black nightshade berries, tamarind",110,0.8,0.1,0.7,0.6,0.2,1,15,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
Kumbakonam Kadappa,Tamil Nadu,"mixed vegetables, lentils, coconut",160,0.6,0.2,0.6,0.2,0.1,1,20,35,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Raagi Puttu,Tamil Nadu,"raagi flour, coconut, jaggery",200,0.1,0.6,0.2,0.1,0.1,1,15,20,1,0,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,med,0.8
Ennai Kathirikai,Tamil Nadu,"eggplant, tamarind, spices",140,0.7,0.1,0.6,0.4,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,high,0.7
Kongu Nadu Chicken Chukka,Tamil Nadu,"chicken, spices",240,0.9,0.1,0.7,0.1,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Paruthi Paal,Tamil Nadu,"cottonseed milk, jaggery",180,0.1,0.7,0.1,0.1,0.2,1,10,20,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,1,low,0.6
Kelvaragu Dosa,Tamil Nadu,"ragi flour, rice flour",150,0.3,0.1,0.4,0.1,0.2,1,240,10,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,med,0.8
Vazhaipoo Moru Curry,Tamil Nadu,"banana flower, buttermilk, coconut",100,0.5,0.1,0.4,0.5,0.2,1,20,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Thengai Paal Payasam,Tamil Nadu,"rice, coconut milk, jaggery",240,0.1,0.8,0.1,0.1,0.1,1,15,35,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,high,0.5
Verkadalai Podi,Tamil Nadu,"peanuts, red chilies, garlic",450,0.7,0.1,0.8,0.1,0.1,1,10,15,1,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.5
Kathirikai Chops,Tamil Nadu,"eggplant, chickpea flour, spices",180,0.6,0.1,0.7,0.1,0.2,1,20,15,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,med,0.7
Milagu Jeeraga Rasam,Tamil Nadu,"pepper, cumin, tamarind",70,0.9,0.1,0.5,0.6,0.2,1,10,20,1,0,0,1,1,1,0,1,0,1,1,0,0,0,1,0,0,high,0.9
Urulai Roast,Tamil Nadu,"potato, onion, spices",180,0.7,0.1,0.7,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,1,1,0,0,0,0,1,0,0,high,0.6
Chettinadu Egg Masala,Tamil Nadu,"eggs, onion, tomato, spices",200,0.8,0.1,0.7,0.3,0.1,1,15,25,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Masiyal,Tamil Nadu,"toor dal, ash gourd, spices",130,0.4,0.1,0.5,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8
Thavala Adai,Tamil Nadu,"mixed lentils, rice, spices",200,0.5,0.1,0.6,0.1,0.1,1,240,15,1,0,0,1,1,1,1,0,1,0,0,0,0,1,0,0,0,med,0.8
Varagu Arisi Satham,Tamil Nadu,"kodo millet, vegetables, spices",180,0.4,0.1,0.5,0.1,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.9
Vazhaipoo Cutlet,Tamil Nadu,"banana flower, potato, spices",160,0.6,0.1,0.7,0.1,0.2,1,30,20,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,med,0.7
Rava Pongal,Tamil Nadu,"semolina, moong dal, black pepper",190,0.4,0.2,0.6,0.1,0.1,1,10,25,1,0,0,1,1,1,1,0,0,0,0,0,0,1,0,0,0,med,0.7
Paal Katti,Tamil Nadu,"milk solids, sugar",300,0.1,0.8,0.2,0.1,0.1,1,10,30,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,med,0.4
Munthiri Kothu,Tamil Nadu,"cashew nuts, jaggery, ghee",450,0.1,0.9,0.2,0.1,0.1,1,10,20,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,1,0,med,0.4
Aadi Koozh,Tamil Nadu,"ragi flour, buttermilk",100,0.2,0.1,0.3,0.4,0.1,1,10,15,1,0,0,1,1,1,0,0,1,0,0,0,0,1,0,0,1,med,0.9
Kaikari Thokku,Tamil Nadu,"mixed vegetables, tamarind, spices",120,0.7,0.2,0.6,0.5,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,0,1,0,0,med,0.8
Momos,Sikkim,"flour, meat/vegetables, spices",220,0.5,0.1,0.7,0.1,0.1,1,40,20,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,0,high,0.7
Thukpa,Sikkim,"noodles, vegetables, meat (optional)",180,0.6,0.1,0.7,0.2,0.1,1,20,30,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,high,0.8
Gundruk,Sikkim,fermented leafy greens,50,0.3,0.1,0.6,0.8,0.2,1,240,20,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,high,0.9
Sel Roti,Sikkim,"rice flour, sugar, milk",280,0.1,0.6,0.3,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Phagshapa,Sikkim,"pork, radish, chili",250,0.7,0.1,0.8,0.1,0.1,1,20,40,0,1,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.6
Sael Roti,Sikkim,"rice, sugar, ghee",300,0.1,0.7,0.2,0.1,0.1,1,30,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,high,0.5
Kinema,Sikkim,fermented soybeans,180,0.4,0.1,0.8,0.3,0.2,1,240,15,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,med,0.8
Sha Phaley,Sikkim,"flour, meat, spices",260,0.6,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,high,0.6
Sinki,Sikkim,fermented radish tap root,60,0.3,0.1,0.7,0.8,0.2,1,240,15,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,med,0.9
Chhurpi,Sikkim,yak cheese,300,0.2,0.1,0.8,0.3,0.1,1,240,0,1,0,0,1,1,0,1,1,1,1,0,0,1,0,1,0,0,high,0.7
Dhindo,Sikkim,"buckwheat flour, water",200,0.2,0.1,0.4,0.1,0.2,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Tama,Sikkim,fermented bamboo shoot,70,0.4,0.1,0.7,0.6,0.2,1,240,15,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,med,0.8
Chaang,Sikkim,fermented millet,100,0.1,0.3,0.2,0.4,0.1,1,240,0,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,1,high,0.6
Ningro,Sikkim,fiddlehead fern,60,0.3,0.1,0.5,0.2,0.3,1,15,20,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,med,0.9
Gyathuk,Sikkim,"noodles, vegetables, meat (optional)",200,0.5,0.1,0.7,0.2,0.1,1,20,25,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,high,0.7
Sishnu,Sikkim,nettle leaves,50,0.4,0.1,0.5,0.3,0.3,1,15,20,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,med,0.9
Kodo ko Roti,Sikkim,finger millet flour,180,0.2,0.1,0.4,0.1,0.2,1,20,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.8
Churpi Soup,Sikkim,"yak cheese, water",150,0.3,0.1,0.8,0.2,0.1,1,10,20,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,med,0.7
Saelroti,Sikkim,"rice flour, sugar, ghee",280,0.1,0.7,0.2,0.1,0.1,1,30,15,1,0,0,1,1,1,1,0,1,0,0,0,1,0,0,0,0,high,0.5
Dalle Khursani Pickle,Sikkim,"round chili, oil, spices",80,1,0.1,0.8,0.4,0.1,1,20,10,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,high,0.7
Tibetan Bread,Sikkim,"flour, water, oil",220,0.1,0.2,0.4,0.1,0.1,1,15,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.6
Mesu,Sikkim,"bamboo shoot, chili",60,0.6,0.1,0.7,0.6,0.2,1,240,15,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,med,0.8
Yangben,Sikkim,"lichen, chili",70,0.5,0.1,0.6,0.2,0.3,1,20,15,1,0,0,1,1,0,0,1,1,1,0,1,0,0,1,0,0,med,0.8
Shimi Sabji,Sikkim,"string beans, spices",100,0.4,0.1,0.6,0.2,0.1,1,15,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.9
Khuri,Sikkim,buckwheat pancake,180,0.2,0.1,0.4,0.1,0.2,1,15,10,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,med,0.7
Pakku,Sikkim,"pork, dried",300,0.6,0.1,0.9,0.1,0.1,1,240,30,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,high,0.6
Lukri,Sikkim,wheat pancake,200,0.2,0.2,0.4,0.1,0.1,1,15,10,1,0,0,1,1,1,1,0,1,0,0,0,0,0,1,0,0,med,0.7
Phapar ko Roti,Sikkim,buckwheat flour,170,0.2,0.1,0.4,0.1,0.2,1,15,15,1,0,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,high,0.8
Shaphaley,Sikkim,"flour, meat, spices",260,0.6,0.1,0.7,0.1,0.1,1,30,20,0,1,0,0,1,0,1,1,1,1,0,0,1,0,0,0,0,high,0.6
Bhusa,Sikkim,"rice, milk, sugar",200,0.1,0.7,0.2,0.1,0.1,1,10,20,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,1,0,med,0.6
Savoury Rice,Sikkim,"rice, vegetables, spices",180,0.4,0.1,0.6,0.2,0.1,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Sargemba,Sikkim,blood sausage,250,0.5,0.1,0.8,0.1,0.2,1,30,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,med,0.5
Gyuma,Sikkim,blood sausage,260,0.5,0.1,0.8,0.1,0.2,1,30,30,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,med,0.5
Sael Roti with Aloo Dum,Sikkim,"rice bread, potato curry",300,0.5,0.3,0.7,0.2,0.1,1,40,30,1,0,0,1,1,1,1,1,0,1,0,0,0,1,0,0,0,high,0.6
Kalo Dal,Sikkim,"black lentils, spices",180,0.4,0.1,0.6,0.2,0.1,1,20,40,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Namkeen Chawal,Sikkim,"rice, salt, ghee",200,0.2,0.1,0.7,0.1,0.1,1,10,20,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Chhurpi Soup,Sikkim,"yak cheese, water",150,0.3,0.1,0.8,0.2,0.1,1,10,20,1,0,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,med,0.7
Bamboo Shoot Curry,Sikkim,"bamboo shoots, spices",120,0.6,0.1,0.7,0.4,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Sikkim Tea,Sikkim,"tea leaves, milk, salt",60,0.1,0.2,0.7,0.1,0.2,1,5,10,1,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.7
Thenthuk,Sikkim,"hand-pulled noodles, vegetables, meat (optional)",200,0.5,0.1,0.7,0.2,0.1,1,30,30,1,1,0,0,1,0,0,1,0,1,1,0,0,1,0,0,0,high,0.7
Chhurpi ko Achar,Sikkim,"yak cheese, chili, spices",180,0.7,0.1,0.8,0.4,0.1,1,15,0,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,med,0.7
Simikoa ko Achar,Sikkim,"nettles, chili, spices",70,0.8,0.1,0.7,0.5,0.3,1,20,10,1,0,0,1,1,0,0,1,1,1,0,1,1,0,1,0,0,med,0.8
Sikkim Vegetable Stew,Sikkim,"mixed vegetables, spices, coconut milk",150,0.4,0.2,0.6,0.2,0.1,1,25,35,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,med,0.9
Yak Butter Tea,Sikkim,"tea leaves, yak butter, salt",120,0.1,0.2,0.8,0.1,0.2,1,5,10,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,high,0.6
Sikkim Green Curry,Sikkim,"green chilies, herbs, vegetables",130,0.8,0.1,0.7,0.3,0.2,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.8
Buckwheat Noodles,Sikkim,"buckwheat flour, water",220,0.2,0.1,0.4,0.1,0.2,1,30,15,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0,0,high,0.7
Sikkimese Pulao,Sikkim,"rice, vegetables, nuts, spices",230,0.5,0.2,0.6,0.1,0.1,1,20,30,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,high,0.7
Lotus Stem Curry,Sikkim,"lotus stem, spices, yogurt",140,0.6,0.1,0.7,0.3,0.1,1,25,35,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.8
Sikkim Mushroom Thukpa,Sikkim,"noodles, mushrooms, vegetables",160,0.5,0.1,0.7,0.2,0.1,1,20,25,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,0,0,high,0.8
Yak Cheese Fondue,Sikkim,"yak cheese, wine, bread",280,0.2,0.1,0.8,0.3,0.1,1,15,20,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,med,0.6
Sikkim Tomato Chutney,Sikkim,"tomatoes, chilies, spices",70,0.7,0.2,0.6,0.5,0.1,1,15,20,1,0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,high,0.8
Bamboo Rice,Sikkim,"rice, bamboo shoots, spices",200,0.4,0.1,0.6,0.3,0.2,1,15,25,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,0,0,med,0.7
